age,blocks_per_game,field_goal_percentage,field_goals_attempted_per_game,field_goals_per_game,games_played,games_started,league,minutes_played_per_game,name,personal_fouls_per_game,points_per_game,position,season,team,turnovers_per_game
22,0.1,.523,1.9,1.0,45,8,NBA,11.0,Andre Jackson Jr.,1.8,2.5,SG,2023-24,MIL,0.5
22,0.2,.492,10.1,5.0,49,16,NBA,29.5,Jaime Jaquez Jr.,2.4,12.9,SF,2023-24,MIA,1.7
23,0.8,.686,3.9,2.7,40,3,NBA,12.9,Trayce Jackson-Davis,1.6,6.4,PF,2023-24,GSW,0.7
19,0.7,.455,8.7,4.0,23,1,NBA,19.4,GG Jackson II,1.2,11.3,PF,2023-24,MEM,0.9
23,0.0,.333,1.7,0.6,7,0,NBA,8.1,Keyontae Johnson,0.6,1.3,SF,2023-24,OKC,0.6
24,1.1,.472,4.0,1.9,9,3,NBA,15.7,Trey Jemison,2.6,4.4,C,2023-24,,1.0
21,0.1,.370,2.7,1.0,17,0,NBA,7.1,Colby Jones,0.9,2.2,SG,2023-24,SAC,0.3
